State,Date,Hourly Demand Met (in MW)
Delhi - 2024,01-Jan 12am,2019.57
Delhi - 2024,01-Jan 1am,1757.78
Delhi - 2024,01-Jan 2am,1605.63
Delhi - 2024,01-Jan 3am,1548.81
Delhi - 2024,01-Jan 4am,1596.26
Delhi - 2024,01-Jan 5am,1891.60
Delhi - 2024,01-Jan 6am,2553.19
Delhi - 2024,01-Jan 7am,3381.37
Delhi - 2024,01-Jan 8am,4035.32
Delhi - 2024,01-Jan 9am,4537.35
Delhi - 2024,01-Jan 10am,4927.47
Delhi - 2024,01-Jan 11am,4896.58
Delhi - 2024,01-Jan 12pm,4627.40
Delhi - 2024,01-Jan 1pm,4063.98
Delhi - 2024,01-Jan 2pm,3813.38
Delhi - 2024,01-Jan 3pm,3559.53
Delhi - 2024,01-Jan 4pm,3437.70
Delhi - 2024,01-Jan 5pm,3525.15
Delhi - 2024,01-Jan 6pm,3663.64
Delhi - 2024,01-Jan 7pm,3556.42
Delhi - 2024,01-Jan 8pm,3367.28
Delhi - 2024,01-Jan 9pm,3181.89
Delhi - 2024,01-Jan 10pm,2888.65
Delhi - 2024,01-Jan 11pm,2427.78
Delhi - 2024,02-Jan 12am,2003.44
Delhi - 2024,02-Jan 1am,1737.58
Delhi - 2024,02-Jan 2am,1605.17
Delhi - 2024,02-Jan 3am,1535.08
Delhi - 2024,02-Jan 4am,1594.57
Delhi - 2024,02-Jan 5am,1896.24
Delhi - 2024,02-Jan 6am,2540.03
Delhi - 2024,02-Jan 7am,3350.99
Delhi - 2024,02-Jan 8am,4023.50
Delhi - 2024,02-Jan 9am,4439.54
Delhi - 2024,02-Jan 10am,4706.42
Delhi - 2024,02-Jan 11am,4651.39
Delhi - 2024,02-Jan 12pm,4358.51
Delhi - 2024,02-Jan 1pm,3892.75
Delhi - 2024,02-Jan 2pm,3746.67
Delhi - 2024,02-Jan 3pm,3620.84
Delhi - 2024,02-Jan 4pm,3593.08
Delhi - 2024,02-Jan 5pm,3798.08
Delhi - 2024,02-Jan 6pm,3972.57
Delhi - 2024,02-Jan 7pm,3847.50
Delhi - 2024,02-Jan 8pm,3640.53
Delhi - 2024,02-Jan 9pm,3451.66
Delhi - 2024,02-Jan 10pm,3116.00
Delhi - 2024,02-Jan 11pm,2585.41
Delhi - 2024,03-Jan 12am,2079.22
Delhi - 2024,03-Jan 1am,1805.21
Delhi - 2024,03-Jan 2am,1680.77
Delhi - 2024,03-Jan 3am,1633.47
Delhi - 2024,03-Jan 4am,1691.98
Delhi - 2024,03-Jan 5am,2004.52
Delhi - 2024,03-Jan 6am,2698.90
Delhi - 2024,03-Jan 7am,3594.85
Delhi - 2024,03-Jan 8am,4325.96
Delhi - 2024,03-Jan 9am,4747.86
Delhi - 2024,03-Jan 10am,5042.71
Delhi - 2024,03-Jan 11am,4984.46
Delhi - 2024,03-Jan 12pm,4697.15
Delhi - 2024,03-Jan 1pm,4229.67
Delhi - 2024,03-Jan 2pm,4114.29
Delhi - 2024,03-Jan 3pm,3951.46
Delhi - 2024,03-Jan 4pm,3909.54
Delhi - 2024,03-Jan 5pm,4039.51
Delhi - 2024,03-Jan 6pm,4169.48
Delhi - 2024,03-Jan 7pm,4061.08
Delhi - 2024,03-Jan 8pm,3822.59
Delhi - 2024,03-Jan 9pm,3582.09
Delhi - 2024,03-Jan 10pm,3259.55
Delhi - 2024,03-Jan 11pm,2710.71
Delhi - 2024,04-Jan 12am,2213.41
Delhi - 2024,04-Jan 1am,1890.96
Delhi - 2024,04-Jan 2am,1730.31
Delhi - 2024,04-Jan 3am,1656.14
Delhi - 2024,04-Jan 4am,1713.67
Delhi - 2024,04-Jan 5am,2023.65
Delhi - 2024,04-Jan 6am,2760.95
Delhi - 2024,04-Jan 7am,3628.48
Delhi - 2024,04-Jan 8am,4312.32
Delhi - 2024,04-Jan 9am,4730.17
Delhi - 2024,04-Jan 10am,5028.97
Delhi - 2024,04-Jan 11am,5013.93
Delhi - 2024,04-Jan 12pm,4843.81
Delhi - 2024,04-Jan 1pm,4479.61
Delhi - 2024,04-Jan 2pm,4382.57
Delhi - 2024,04-Jan 3pm,4240.47
Delhi - 2024,04-Jan 4pm,4118.60
Delhi - 2024,04-Jan 5pm,4225.82
Delhi - 2024,04-Jan 6pm,4347.63
Delhi - 2024,04-Jan 7pm,4215.76
Delhi - 2024,04-Jan 8pm,3991.56
Delhi - 2024,04-Jan 9pm,3744.31
Delhi - 2024,04-Jan 10pm,3366.35
Delhi - 2024,04-Jan 11pm,2792.95
Delhi - 2024,05-Jan 12am,2254.08
Delhi - 2024,05-Jan 1am,1940.54
Delhi - 2024,05-Jan 2am,1779.34
Delhi - 2024,05-Jan 3am,1726.71
Delhi - 2024,05-Jan 4am,1804.67
Delhi - 2024,05-Jan 5am,2117.56
Delhi - 2024,05-Jan 6am,2838.50
Delhi - 2024,05-Jan 7am,3782.91
Delhi - 2024,05-Jan 8am,4558.16
Delhi - 2024,05-Jan 9am,5003.84
Delhi - 2024,05-Jan 10am,5271.03
Delhi - 2024,05-Jan 11am,5346.09
Delhi - 2024,05-Jan 12pm,5267.71
Delhi - 2024,05-Jan 1pm,4844.82
Delhi - 2024,05-Jan 2pm,4609.96
Delhi - 2024,05-Jan 3pm,4411.09
Delhi - 2024,05-Jan 4pm,4232.44
Delhi - 2024,05-Jan 5pm,4308.21
Delhi - 2024,05-Jan 6pm,4428.63
Delhi - 2024,05-Jan 7pm,4283.72
Delhi - 2024,05-Jan 8pm,4011.96
Delhi - 2024,05-Jan 9pm,3750.31
Delhi - 2024,05-Jan 10pm,3413.15
Delhi - 2024,05-Jan 11pm,2854.77
Delhi - 2024,06-Jan 12am,2349.21
Delhi - 2024,06-Jan 1am,2020.48
Delhi - 2024,06-Jan 2am,1849.73
Delhi - 2024,06-Jan 3am,1772.20
Delhi - 2024,06-Jan 4am,1838.10
Delhi - 2024,06-Jan 5am,2089.02
Delhi - 2024,06-Jan 6am,2710.29
Delhi - 2024,06-Jan 7am,3529.68
Delhi - 2024,06-Jan 8am,4214.08
Delhi - 2024,06-Jan 9am,4630.88
Delhi - 2024,06-Jan 10am,4989.41
Delhi - 2024,06-Jan 11am,4982.65
Delhi - 2024,06-Jan 12pm,4751.47
Delhi - 2024,06-Jan 1pm,4367.80
Delhi - 2024,06-Jan 2pm,4138.62
Delhi - 2024,06-Jan 3pm,3940.14
Delhi - 2024,06-Jan 4pm,3809.96
Delhi - 2024,06-Jan 5pm,3959.97
Delhi - 2024,06-Jan 6pm,4151.58
Delhi - 2024,06-Jan 7pm,4039.65
Delhi - 2024,06-Jan 8pm,3875.15
Delhi - 2024,06-Jan 9pm,3654.54
Delhi - 2024,06-Jan 10pm,3323.31
Delhi - 2024,06-Jan 11pm,2827.86
Delhi - 2024,07-Jan 12am,2304.33
Delhi - 2024,07-Jan 1am,1964.11
Delhi - 2024,07-Jan 2am,1793.06
Delhi - 2024,07-Jan 3am,1703.97
Delhi - 2024,07-Jan 4am,1734.64
Delhi - 2024,07-Jan 5am,1959.08
Delhi - 2024,07-Jan 6am,2447.55
Delhi - 2024,07-Jan 7am,3138.53
Delhi - 2024,07-Jan 8am,3855.75
Delhi - 2024,07-Jan 9am,4404.77
Delhi - 2024,07-Jan 10am,4943.72
Delhi - 2024,07-Jan 11am,4975.41
Delhi - 2024,07-Jan 12pm,4789.04
Delhi - 2024,07-Jan 1pm,4293.09
Delhi - 2024,07-Jan 2pm,3951.19
Delhi - 2024,07-Jan 3pm,3678.16
Delhi - 2024,07-Jan 4pm,3570.14
Delhi - 2024,07-Jan 5pm,3715.15
Delhi - 2024,07-Jan 6pm,3934.22
Delhi - 2024,07-Jan 7pm,3912.97
Delhi - 2024,07-Jan 8pm,3764.54
Delhi - 2024,07-Jan 9pm,3574.21
Delhi - 2024,07-Jan 10pm,3215.66
Delhi - 2024,07-Jan 11pm,2693.14
Delhi - 2024,08-Jan 12am,2202.01
Delhi - 2024,08-Jan 1am,1909.68
Delhi - 2024,08-Jan 2am,1741.39
Delhi - 2024,08-Jan 3am,1676.22
Delhi - 2024,08-Jan 4am,1764.70
Delhi - 2024,08-Jan 5am,2132.35
Delhi - 2024,08-Jan 6am,3016.21
Delhi - 2024,08-Jan 7am,3897.52
Delhi - 2024,08-Jan 8am,4497.63
Delhi - 2024,08-Jan 9am,4843.04
Delhi - 2024,08-Jan 10am,5098.74
Delhi - 2024,08-Jan 11am,5112.72
Delhi - 2024,08-Jan 12pm,4907.49
Delhi - 2024,08-Jan 1pm,4534.89
Delhi - 2024,08-Jan 2pm,4332.83
Delhi - 2024,08-Jan 3pm,4110.39
Delhi - 2024,08-Jan 4pm,3984.99
Delhi - 2024,08-Jan 5pm,4089.28
Delhi - 2024,08-Jan 6pm,4299.31
Delhi - 2024,08-Jan 7pm,4235.31
Delhi - 2024,08-Jan 8pm,4047.98
Delhi - 2024,08-Jan 9pm,3830.67
Delhi - 2024,08-Jan 10pm,3470.57
Delhi - 2024,08-Jan 11pm,2890.39
Delhi - 2024,09-Jan 12am,2335.52
Delhi - 2024,09-Jan 1am,2009.33
Delhi - 2024,09-Jan 2am,1863.08
Delhi - 2024,09-Jan 3am,1786.39
Delhi - 2024,09-Jan 4am,1852.25
Delhi - 2024,09-Jan 5am,2217.24
Delhi - 2024,09-Jan 6am,3067.65
Delhi - 2024,09-Jan 7am,3986.85
Delhi - 2024,09-Jan 8am,4573.63
Delhi - 2024,09-Jan 9am,4927.79
Delhi - 2024,09-Jan 10am,5242.11
Delhi - 2024,09-Jan 11am,5245.48
Delhi - 2024,09-Jan 12pm,5031.95
Delhi - 2024,09-Jan 1pm,4629.03
Delhi - 2024,09-Jan 2pm,4515.45
Delhi - 2024,09-Jan 3pm,4437.90
Delhi - 2024,09-Jan 4pm,4216.78
Delhi - 2024,09-Jan 5pm,4273.10
Delhi - 2024,09-Jan 6pm,4485.97
Delhi - 2024,09-Jan 7pm,4375.38
Delhi - 2024,09-Jan 8pm,4177.73
Delhi - 2024,09-Jan 9pm,4005.57
Delhi - 2024,09-Jan 10pm,3598.98
Delhi - 2024,09-Jan 11pm,2981.36
Delhi - 2024,10-Jan 12am,2402.56
Delhi - 2024,10-Jan 1am,2054.42
Delhi - 2024,10-Jan 2am,1888.92
Delhi - 2024,10-Jan 3am,1819.87
Delhi - 2024,10-Jan 4am,1882.76
Delhi - 2024,10-Jan 5am,2248.22
Delhi - 2024,10-Jan 6am,3147.91
Delhi - 2024,10-Jan 7am,4080.54
Delhi - 2024,10-Jan 8am,4719.20
Delhi - 2024,10-Jan 9am,5134.66
Delhi - 2024,10-Jan 10am,5454.60
Delhi - 2024,10-Jan 11am,5418.62
Delhi - 2024,10-Jan 12pm,5172.75
Delhi - 2024,10-Jan 1pm,4726.81
Delhi - 2024,10-Jan 2pm,4497.38
Delhi - 2024,10-Jan 3pm,4363.25
Delhi - 2024,10-Jan 4pm,4171.29
Delhi - 2024,10-Jan 5pm,4326.92
Delhi - 2024,10-Jan 6pm,4561.03
Delhi - 2024,10-Jan 7pm,4455.33
Delhi - 2024,10-Jan 8pm,4261.73
Delhi - 2024,10-Jan 9pm,4071.32
Delhi - 2024,10-Jan 10pm,3728.32
Delhi - 2024,10-Jan 11pm,3074.16
Delhi - 2024,11-Jan 12am,2474.95
Delhi - 2024,11-Jan 1am,2105.38
Delhi - 2024,11-Jan 2am,1919.83
Delhi - 2024,11-Jan 3am,1851.67
Delhi - 2024,11-Jan 4am,1914.75
Delhi - 2024,11-Jan 5am,2299.54
Delhi - 2024,11-Jan 6am,3177.22
Delhi - 2024,11-Jan 7am,4122.36
Delhi - 2024,11-Jan 8am,4710.21
Delhi - 2024,11-Jan 9am,5075.86
Delhi - 2024,11-Jan 10am,5283.80
Delhi - 2024,11-Jan 11am,5175.07
Delhi - 2024,11-Jan 12pm,4898.65
Delhi - 2024,11-Jan 1pm,4434.67
Delhi - 2024,11-Jan 2pm,4280.28
Delhi - 2024,11-Jan 3pm,4198.97
Delhi - 2024,11-Jan 4pm,4139.50
Delhi - 2024,11-Jan 5pm,4288.18
Delhi - 2024,11-Jan 6pm,4523.86
Delhi - 2024,11-Jan 7pm,4444.17
Delhi - 2024,11-Jan 8pm,4272.57
Delhi - 2024,11-Jan 9pm,4102.95
Delhi - 2024,11-Jan 10pm,3773.13
Delhi - 2024,11-Jan 11pm,3191.01
Delhi - 2024,12-Jan 12am,2647.86
Delhi - 2024,12-Jan 1am,2305.45
Delhi - 2024,12-Jan 2am,2131.73
Delhi - 2024,12-Jan 3am,2070.67
Delhi - 2024,12-Jan 4am,2115.77
Delhi - 2024,12-Jan 5am,2481.05
Delhi - 2024,12-Jan 6am,3330.18
Delhi - 2024,12-Jan 7am,4241.47
Delhi - 2024,12-Jan 8am,4866.81
Delhi - 2024,12-Jan 9am,5292.24
Delhi - 2024,12-Jan 10am,5542.29
Delhi - 2024,12-Jan 11am,5507.56
Delhi - 2024,12-Jan 12pm,5263.18
Delhi - 2024,12-Jan 1pm,4663.62
Delhi - 2024,12-Jan 2pm,4372.61
Delhi - 2024,12-Jan 3pm,4158.85
Delhi - 2024,12-Jan 4pm,4033.59
Delhi - 2024,12-Jan 5pm,4203.80
Delhi - 2024,12-Jan 6pm,4423.37
Delhi - 2024,12-Jan 7pm,4347.73
Delhi - 2024,12-Jan 8pm,4165.70
Delhi - 2024,12-Jan 9pm,3943.04
Delhi - 2024,12-Jan 10pm,3635.51
Delhi - 2024,12-Jan 11pm,3057.66
Delhi - 2024,13-Jan 12am,2468.85
Delhi - 2024,13-Jan 1am,1977.98
Delhi - 2024,13-Jan 2am,1760.80
Delhi - 2024,13-Jan 3am,1682.34
Delhi - 2024,13-Jan 4am,1723.35
Delhi - 2024,13-Jan 5am,2010.96
Delhi - 2024,13-Jan 6am,2601.20
Delhi - 2024,13-Jan 7am,3552.30
Delhi - 2024,13-Jan 8am,4372.50
Delhi - 2024,13-Jan 9am,4773.32
Delhi - 2024,13-Jan 10am,5201.31
Delhi - 2024,13-Jan 11am,5161.05
Delhi - 2024,13-Jan 12pm,4949.90
Delhi - 2024,13-Jan 1pm,4462.17
Delhi - 2024,13-Jan 2pm,4260.99
Delhi - 2024,13-Jan 3pm,3999.85
Delhi - 2024,13-Jan 4pm,3880.35
Delhi - 2024,13-Jan 5pm,3938.77
Delhi - 2024,13-Jan 6pm,4218.30
Delhi - 2024,13-Jan 7pm,4108.97
Delhi - 2024,13-Jan 8pm,3889.91
Delhi - 2024,13-Jan 9pm,3705.01
Delhi - 2024,13-Jan 10pm,3424.97
Delhi - 2024,13-Jan 11pm,2938.65
Delhi - 2024,14-Jan 12am,2425.84
Delhi - 2024,14-Jan 1am,2083.54
Delhi - 2024,14-Jan 2am,1878.38
Delhi - 2024,14-Jan 3am,1786.62
Delhi - 2024,14-Jan 4am,1825.72
Delhi - 2024,14-Jan 5am,2079.72
Delhi - 2024,14-Jan 6am,2614.50
Delhi - 2024,14-Jan 7am,3335.15
Delhi - 2024,14-Jan 8am,4135.76
Delhi - 2024,14-Jan 9am,4751.31
Delhi - 2024,14-Jan 10am,5289.75
Delhi - 2024,14-Jan 11am,5303.12
Delhi - 2024,14-Jan 12pm,5048.53
Delhi - 2024,14-Jan 1pm,4466.99
Delhi - 2024,14-Jan 2pm,4047.50
Delhi - 2024,14-Jan 3pm,3715.30
Delhi - 2024,14-Jan 4pm,3582.46
Delhi - 2024,14-Jan 5pm,3730.34
Delhi - 2024,14-Jan 6pm,4042.49
Delhi - 2024,14-Jan 7pm,4025.58
Delhi - 2024,14-Jan 8pm,3929.65
Delhi - 2024,14-Jan 9pm,3818.67
Delhi - 2024,14-Jan 10pm,3442.23
Delhi - 2024,14-Jan 11pm,2875.26
Delhi - 2024,15-Jan 12am,2336.23
Delhi - 2024,15-Jan 1am,1998.87
Delhi - 2024,15-Jan 2am,1817.10
Delhi - 2024,15-Jan 3am,1737.98
Delhi - 2024,15-Jan 4am,1828.64
Delhi - 2024,15-Jan 5am,2210.62
Delhi - 2024,15-Jan 6am,3138.85
Delhi - 2024,15-Jan 7am,4363.26
Delhi - 2024,15-Jan 8am,4993.29
Delhi - 2024,15-Jan 9am,5172.54
Delhi - 2024,15-Jan 10am,5313.16
Delhi - 2024,15-Jan 11am,5131.71
Delhi - 2024,15-Jan 12pm,4746.10
Delhi - 2024,15-Jan 1pm,4236.97
Delhi - 2024,15-Jan 2pm,4074.79
Delhi - 2024,15-Jan 3pm,3984.46
Delhi - 2024,15-Jan 4pm,3913.12
Delhi - 2024,15-Jan 5pm,4120.23
Delhi - 2024,15-Jan 6pm,4370.28
Delhi - 2024,15-Jan 7pm,4316.96
Delhi - 2024,15-Jan 8pm,4170.10
Delhi - 2024,15-Jan 9pm,3948.09
Delhi - 2024,15-Jan 10pm,3613.74
Delhi - 2024,15-Jan 11pm,2994.93
Delhi - 2024,16-Jan 12am,2419.73
Delhi - 2024,16-Jan 1am,2074.83
Delhi - 2024,16-Jan 2am,1900.11
Delhi - 2024,16-Jan 3am,1821.58
Delhi - 2024,16-Jan 4am,1893.17
Delhi - 2024,16-Jan 5am,2233.62
Delhi - 2024,16-Jan 6am,3083.30
Delhi - 2024,16-Jan 7am,4294.36
Delhi - 2024,16-Jan 8am,4945.47
Delhi - 2024,16-Jan 9am,5055.38
Delhi - 2024,16-Jan 10am,5335.21
Delhi - 2024,16-Jan 11am,5185.12
Delhi - 2024,16-Jan 12pm,4861.75
Delhi - 2024,16-Jan 1pm,4338.70
Delhi - 2024,16-Jan 2pm,4231.82
Delhi - 2024,16-Jan 3pm,4198.93
Delhi - 2024,16-Jan 4pm,4129.66
Delhi - 2024,16-Jan 5pm,4334.83
Delhi - 2024,16-Jan 6pm,4584.84
Delhi - 2024,16-Jan 7pm,4547.65
Delhi - 2024,16-Jan 8pm,4368.83
Delhi - 2024,16-Jan 9pm,4165.17
Delhi - 2024,16-Jan 10pm,3721.92
Delhi - 2024,16-Jan 11pm,3030.57
Delhi - 2024,17-Jan 12am,2449.66
Delhi - 2024,17-Jan 1am,2093.10
Delhi - 2024,17-Jan 2am,1924.51
Delhi - 2024,17-Jan 3am,1846.20
Delhi - 2024,17-Jan 4am,1914.95
Delhi - 2024,17-Jan 5am,2266.38
Delhi - 2024,17-Jan 6am,3128.68
Delhi - 2024,17-Jan 7am,4360.01
Delhi - 2024,17-Jan 8am,5024.95
Delhi - 2024,17-Jan 9am,5210.02
Delhi - 2024,17-Jan 10am,5466.60
Delhi - 2024,17-Jan 11am,5303.05
Delhi - 2024,17-Jan 12pm,4905.54
Delhi - 2024,17-Jan 1pm,4398.55
Delhi - 2024,17-Jan 2pm,4270.45
Delhi - 2024,17-Jan 3pm,4115.04
Delhi - 2024,17-Jan 4pm,4108.82
Delhi - 2024,17-Jan 5pm,4253.35
Delhi - 2024,17-Jan 6pm,4457.93
Delhi - 2024,17-Jan 7pm,4477.36
Delhi - 2024,17-Jan 8pm,4268.49
Delhi - 2024,17-Jan 9pm,4071.35
Delhi - 2024,17-Jan 10pm,3736.69
Delhi - 2024,17-Jan 11pm,3103.06
Delhi - 2024,18-Jan 12am,2489.02
Delhi - 2024,18-Jan 1am,2124.06
Delhi - 2024,18-Jan 2am,1936.14
Delhi - 2024,18-Jan 3am,1853.94
Delhi - 2024,18-Jan 4am,1913.99
Delhi - 2024,18-Jan 5am,2259.84
Delhi - 2024,18-Jan 6am,3113.46
Delhi - 2024,18-Jan 7am,4343.64
Delhi - 2024,18-Jan 8am,4936.10
Delhi - 2024,18-Jan 9am,5118.37
Delhi - 2024,18-Jan 10am,5337.43
Delhi - 2024,18-Jan 11am,5172.87
Delhi - 2024,18-Jan 12pm,4794.49
Delhi - 2024,18-Jan 1pm,4323.27
Delhi - 2024,18-Jan 2pm,4233.41
Delhi - 2024,18-Jan 3pm,4187.93
Delhi - 2024,18-Jan 4pm,4139.64
Delhi - 2024,18-Jan 5pm,4295.77
Delhi - 2024,18-Jan 6pm,4522.50
Delhi - 2024,18-Jan 7pm,4501.47
Delhi - 2024,18-Jan 8pm,4285.68
Delhi - 2024,18-Jan 9pm,4063.78
Delhi - 2024,18-Jan 10pm,3700.17
Delhi - 2024,18-Jan 11pm,3068.43
Delhi - 2024,19-Jan 12am,2470.16
Delhi - 2024,19-Jan 1am,2111.50
Delhi - 2024,19-Jan 2am,1945.37
Delhi - 2024,19-Jan 3am,1851.86
Delhi - 2024,19-Jan 4am,1896.55
Delhi - 2024,19-Jan 5am,2256.91
Delhi - 2024,19-Jan 6am,3125.39
Delhi - 2024,19-Jan 7am,4361.68
Delhi - 2024,19-Jan 8am,5047.81
Delhi - 2024,19-Jan 9am,5367.42
Delhi - 2024,19-Jan 10am,5672.78
Delhi - 2024,19-Jan 11am,5571.44
Delhi - 2024,19-Jan 12pm,5318.22
Delhi - 2024,19-Jan 1pm,4884.19
Delhi - 2024,19-Jan 2pm,4670.90
Delhi - 2024,19-Jan 3pm,4533.86
Delhi - 2024,19-Jan 4pm,4422.27
Delhi - 2024,19-Jan 5pm,4532.76
Delhi - 2024,19-Jan 6pm,4702.05
Delhi - 2024,19-Jan 7pm,4655.40
Delhi - 2024,19-Jan 8pm,4416.56
Delhi - 2024,19-Jan 9pm,4198.64
Delhi - 2024,19-Jan 10pm,3879.51
Delhi - 2024,19-Jan 11pm,3301.41
Delhi - 2024,20-Jan 12am,2730.76
Delhi - 2024,20-Jan 1am,2371.58
Delhi - 2024,20-Jan 2am,2200.34
Delhi - 2024,20-Jan 3am,2126.61
Delhi - 2024,20-Jan 4am,2178.21
Delhi - 2024,20-Jan 5am,2451.86
Delhi - 2024,20-Jan 6am,3134.85
Delhi - 2024,20-Jan 7am,4050.32
Delhi - 2024,20-Jan 8am,4653.71
Delhi - 2024,20-Jan 9am,4934.51
Delhi - 2024,20-Jan 10am,5208.22
Delhi - 2024,20-Jan 11am,5091.99
Delhi - 2024,20-Jan 12pm,4703.11
Delhi - 2024,20-Jan 1pm,4256.76
Delhi - 2024,20-Jan 2pm,4042.29
Delhi - 2024,20-Jan 3pm,3910.02
Delhi - 2024,20-Jan 4pm,3861.45
Delhi - 2024,20-Jan 5pm,4004.70
Delhi - 2024,20-Jan 6pm,4289.85
Delhi - 2024,20-Jan 7pm,4232.89
Delhi - 2024,20-Jan 8pm,4035.09
Delhi - 2024,20-Jan 9pm,3900.83
Delhi - 2024,20-Jan 10pm,3567.84
Delhi - 2024,20-Jan 11pm,3016.47
Delhi - 2024,21-Jan 12am,2440.58
Delhi - 2024,21-Jan 1am,2072.94
Delhi - 2024,21-Jan 2am,1872.98
